# Engine name: 
# Thu Sep 4 20:43:00 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000    349.0000      3.0000     10.0000      0.0000   1162.5850     16.2605      1.2928      1.1670   1204.0904    188.5703    210.4997      1.5358      1.7144      1.0000 
     0.5000    356.0000      3.0000     10.0000      0.0000   1164.0040     16.2688      1.2930      1.1671   1204.3747    189.0529    210.8895      1.5394      1.7172      1.0000 
     0.5000    363.0000      3.0000     10.0000      0.0000   1165.3981     16.2769      1.2932      1.1672   1204.6528    189.5243    211.2706      1.5428      1.7199      1.0000 
     0.5000    370.0000      3.0000     10.0000      0.0000   1166.7682     16.2849      1.2935      1.1673   1204.9249    189.9850    211.6435      1.5463      1.7225      1.0000 
     0.5000    377.0000      3.0000     10.0000      0.0000   1168.1151     16.2928      1.2937      1.1674   1205.1913    190.4355    212.0084      1.5496      1.7251      1.0000 
     0.5000    384.0000      3.0000     10.0000      0.0000   1169.4397     16.3005      1.2939      1.1675   1205.4522    190.8763    212.3657      1.5528      1.7276      1.0000 
     0.5000    391.0000      3.0000     10.0000      0.0000   1170.7428     16.3082      1.2941      1.1676   1205.7078    191.3076    212.7156      1.5560      1.7301      1.0000 
     0.5000    398.0000      3.0000     10.0000      0.0000   1172.0250     16.3157      1.2943      1.1677   1205.9583    191.7299    213.0584      1.5591      1.7326      1.0000 
     0.5000    405.0000      3.0000     10.0000      0.0000   1173.2871     16.3231      1.2945      1.1678   1206.2040    192.1435    213.3945      1.5622      1.7349      1.0000 
     0.5000    412.0000      3.0000     10.0000      0.0000   1174.5296     16.3304      1.2947      1.1679   1206.4448    192.5487    213.7240      1.5651      1.7373      1.0000 
     0.5000    419.0000      3.0000     10.0000      0.0000   1175.7533     16.3376      1.2949      1.1680   1206.6812    192.9459    214.0471      1.5681      1.7396      1.0000 
     0.5000    426.0000      3.0000     10.0000      0.0000   1176.9587     16.3447      1.2951      1.1681   1206.9131    193.3353    214.3642      1.5709      1.7418      1.0000 
     0.5000    433.0000      3.0000     10.0000      0.0000   1178.1463     16.3517      1.2953      1.1682   1207.1408    193.7172    214.6754      1.5737      1.7440      1.0000 
     0.5000    440.0000      3.0000     10.0000      0.0000   1179.3168     16.3586      1.2955      1.1682   1207.3643    194.0919    214.9809      1.5765      1.7462      1.0000 
     0.5000    447.0000      3.0000     10.0000      0.0000   1180.4706     16.3654      1.2956      1.1683   1213.1969    194.4597    215.2810      1.5719      1.7402      1.0000 
     0.5000    454.0000      3.0000     10.0000      0.0000   1181.6083     16.3721      1.2958      1.1684   1202.2850    194.8207    215.5757      1.5891      1.7584      1.0000 
     0.5000    461.0000      3.0000     10.0000      0.0000   1182.7302     16.3787      1.2960      1.1685   1208.1129    195.1753    215.8653      1.5843      1.7522      1.0000 
     0.5000    468.0000      3.0000     10.0000      0.0000   1183.8369     16.3853      1.2961      1.1686   1208.4057    195.5236    216.1500      1.5867      1.7541      1.0000 
     0.5000    475.0000      3.0000     10.0000      0.0000   1184.9287     16.3917      1.2963      1.1687   1208.6942    195.8658    216.4299      1.5891      1.7560      1.0000 
     0.5000    482.0000      3.0000     10.0000      0.0000   1186.0062     16.3981      1.2965      1.1687   1208.9784    196.2021    216.7051      1.5915      1.7578      1.0000 
     0.5000    489.0000      3.0000     10.0000      0.0000   1187.0696     16.4044      1.2966      1.1688   1209.2585    196.5328    216.9758      1.5938      1.7596      1.0000 
     0.5000    496.0000      3.0000     10.0000      0.0000   1188.1193     16.4106      1.2968      1.1689   1209.5345    196.8579    217.2421      1.5961      1.7614      1.0000 
     0.5000    503.0000      3.0000     10.0000      0.0000   1189.1558     16.4168      1.2969      1.1690   1209.8073    197.1776    217.5041      1.5983      1.7631      1.0000 
     0.5000    510.0000      3.0000     10.0000      0.0000   1190.1793     16.4229      1.2971      1.1690   1210.0757    197.4922    217.7621      1.6005      1.7648      1.0000 
